29.5,0.0,6.39,6.3             
29.5,0.0,6.39,6.3             
29.5,0.0,6.39,6.3             
29.5,0.0,6.39,6.3             
29.5,0.0,6.39,6.3             
29.5,0.0,6.39,6.3             
29.5,0.0,6.39,6.3             
29.5,0.0,6.39,6.3             
29.5,0.0,6.39,6.3             
29.5,0.0,6.39,6.3             
29.5,0.0,6.39,6.3             
29.5,0.0,6.39,6.3             
29.5,0.0,6.39,6.3             
29.5,0.0,6.39,6.3             
29.5,0.0,6.39,6.3             
29.5,0.0,6.39,6.3             
29.5,0.0,6.39,6.3             
29.5,0.0,6.39,6.3             
29.5,0.0,6.39,6.3             
29.5,0.0,6.39,6.3             
29.5,0.0,6.39,6.3             
29.5,0.0,6.39,6.3             
29.5,0.0,6.39,6.3             
29.5,0.0,6.39,6.3             
29.5,0.0,6.39,6.3             
29.5,0.0,6.39,6.3             
29.5,0.0,6.39,6.3             
29.5,0.0,6.39,6.3             
29.5,0.0,6.39,6.3             
29.5,0.0,6.39,6.3             
29.5,0.0,6.39,6.3             
29.5,0.0,6.39,6.3             
29.5,0.0,6.39,6.3             
29.5,0.0,6.39,6.3             
29.5,0.0,6.39,6.3             
29.5,0.0,6.39,6.3             
29.5,0.0,6.39,6.3             
29.5,0.0,6.39,6.3             
29.5,0.0,6.39,6.3             
3.5,0.0,8.90,9.0              
3.4,0.0,8.86,8.9              
3.4,0.0,8.99,8.9              
3.5,0.0,9.04,9.1              
3.5,0.0,9.24,9.1              
3.8,0.0,9.26,9.3              
3.8,0.0,8.83,8.7              
3.9,0.0,8.74,8.7              
3.4,0.0,9.13,9.1              
3.5,0.0,9.19,9.2              
3.4,0.0,8.83,8.7              
3.5,0.0,9.19,9.1              
3.4,0.0,8.93,8.9              
3.4,0.0,8.86,8.8              
3.4,0.0,8.88,8.8              
3.4,0.0,8.68,8.8              
3.5,0.0,9.10,9.0              
3.4,0.0,8.90,8.8              
3.4,0.0,9.17,9.2              
3.4,0.0,8.77,8.7              
3.4,0.0,9.28,9.3              
3.4,0.0,8.86,8.8              
3.4,0.0,9.15,9.1              
3.4,0.0,9.30,9.3              
3.4,0.0,9.35,9.2              
3.4,0.0,9.01,8.9              
3.4,0.0,9.21,9.2              
3.9,0.0,9.17,9.1              
3.8,0.0,9.10,9.0              
3.4,0.0,8.95,8.9              
3.9,0.0,8.81,8.9              
3.4,0.0,8.95,8.9              
3.4,0.0,8.86,8.8              
3.5,0.0,8.99,8.9              
3.4,0.0,9.06,9.1              
3.4,0.0,9.35,9.2              
3.5,0.0,9.13,9.0              
3.4,0.0,8.90,8.8              
3.5,0.0,9.23,9.2              
3.8,0.0,9.06,9.0              
3.4,0.0,9.43,9.3              
3.4,0.0,8.90,8.9              
3.9,0.0,9.44,9.3              
3.5,0.0,9.46,9.4              
3.4,0.0,9.41,9.4              
3.5,0.0,8.93,9.0              
3.4,0.0,8.95,8.9              
3.5,0.0,9.33,9.2              
3.4,0.0,9.06,9.1              
3.4,0.0,8.97,9.0              
3.4,0.0,9.44,9.4              
3.4,0.0,9.53,9.5              
3.4,0.0,9.50,9.5              
3.4,0.0,9.46,9.4              
3.4,0.0,9.15,9.1              
3.4,0.0,9.17,9.2              
3.4,0.0,9.12,9.2              
3.9,0.0,9.04,9.0              
3.4,0.0,9.53,9.4              
3.4,0.0,8.95,8.9              
3.4,0.0,9.52,9.5              
3.5,0.0,9.21,9.1              
3.8,0.0,9.53,9.5              
3.4,0.0,9.23,9.1              
3.5,0.0,9.01,9.0              
3.5,0.0,9.28,9.2              
3.5,0.0,9.23,9.1              
3.4,0.0,9.64,9.6              
3.5,0.0,9.61,9.6              
3.4,0.0,9.17,9.2              
3.5,0.0,9.21,9.1              
3.5,0.0,9.61,9.5              
3.5,0.0,9.50,9.5              
3.5,0.0,9.63,9.6              
3.4,0.0,9.72,9.7              
3.4,0.0,9.57,9.5              
3.5,0.0,9.37,9.3              
3.4,0.0,9.59,9.5              
3.4,0.0,9.33,9.4              
3.4,0.0,9.72,9.7              
3.5,0.0,9.70,9.6              
